2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/jetpack/css/jetpack.css?ver=11.8.4 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/css/jetpack/widgets.css?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/cleantalk-spam-protect/js/apbct-public-bundle.min.js?ver=6.5 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/css/woocommerce/woocommerce.css?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/jetpack/modules/contact-form/js/form-styles.js?ver=11.8.4 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.7.4.1 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=7.4.1 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.7.4.1 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=7.4.1 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
